id,Google Chrome,Apple Safari,Microsoft Edge,Opera,Mozilla Firefox,Samsung Internet,Brave,Яндекс.Браузер,Tor Browser,DuckDuckGo Browser
1,10,9,8,7,10,2,5,,4,5
2,9,6,1,3,8,1,3,,4,3
3,6,7,2,3,,1,10,,1,1
4,10,,7,2,10,2,9,,,2
5,3,,1,2,,2,10,1,3,
6,6,3,4,6,9,7,3,,3,8
7,10,,9,,6,,7,,,7
8,7,8,,,,9,1,10,,4
9,2,10,,,,6,4,7,,1
10,,10,,,8,8,2,1,1,9
11,2,,1,,6,7,10,4,2,1
12,10,2,,,3,1,1,2,4,8
13,5,10,4,,9,5,2,8,1,4
14,8,,6,6,10,4,7,8,1,4
15,6,9,,,4,1,5,3,1,2
16,8,4,7,,7,3,7,9,2,10
17,9,2,3,3,2,3,,10,4,2
18,6,,,2,,2,5,7,10,3
